FID,LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape__Area,Shape__Length
1,E01000001,City of London 001A,City of London,74.8180601783,76.1504036055,43.3446859231,97.6640497283,6b,2635.76799303,129865.314476013,2635.76799303233
2,E01000002,City of London 001B,Islington,85.3248984274,88.8999534869,44.8026739362,102.127724262,6b,2707.8168207,228419.782241821,2707.81682069617
3,E01000003,City of London 001C,Islington,53.4113829484,54.1145413312,36.9958704543,66.9894792109,6b,1224.57316015,59054.2046966553,1224.57316015297
4,E01000005,City of London 001E,Tower Hamlets,82.4289117271,86.6499845759,45.5048867781,104.154095741,6b,2275.80534436,189577.709503174,2275.80534435897
5,E01000006,Barking and Dagenham 016A,Barking & Dagenham,24.1539710808,27.9312730683,2.83697746239,33.4009033104,5,1966.09260671,146536.995750427,1966.09260671297
6,E01000007,Barking and Dagenham 015A,Barking & Dagenham,32.6039542378,31.8600120028,23.0011957779,49.2481250981,6a,2949.68505259,200093.992698669,2949.68505259301
7,E01000008,Barking and Dagenham 015B,Newham,8.3911316014,6.02413757326,0,26.471128212,2,2928.21502998,216901.39390564,2928.21502997923
8,E01000009,Barking and Dagenham 016B,Barking & Dagenham,37.7532092352,36.8612491171,32.5827786467,42.6392689899,6a,2158.78798284,127959.927360535,2158.7879828364
9,E01000011,Barking and Dagenham 016C,Barking & Dagenham,31.7014262401,31.681023563,27.7220539775,36.2990885221,6a,1543.08542547,91632.2816314697,1543.08542547119
10,E01000012,Barking and Dagenham 015D,Barking & Dagenham,18.2889539016,21.551302364,2.25428323828,32.1125392729,4,2327.97903538,143774.697532654,2327.97903538444
11,E01000013,Barking and Dagenham 013A,Barking & Dagenham,13.5929517115,13.1337688888,1.98521868699,21.3591504549,3,3326.6802746,207829.959526062,3326.68027460423
12,E01000014,Barking and Dagenham 013B,Barking & Dagenham,8.08811365321,7.18395970753,2.27630756386,16.8545171434,2,4029.90663509,341219.223373413,4029.90663509139
13,E01000015,Barking and Dagenham 009A,Barking & Dagenham,8.89515184547,9.00164807105,2.15648451669,14.9599486962,2,3294.54553251,280629.570861816,3294.54553251468
14,E01000016,Barking and Dagenham 009B,Barking & Dagenham,6.97843786743,5.92924839257,2.7392889266,15.2222304435,2,2759.5797517,198775.114517212,2759.57975169877
15,E01000017,Barking and Dagenham 009C,Barking & Dagenham,8.91669836592,8.33268183421,5.33162991996,14.3775682839,2,2233.13029827,158371.856994629,2233.13029826868
16,E01000018,Barking and Dagenham 009D,Barking & Dagenham,8.41197495422,8.23880843605,3.60276667645,15.0539512237,2,2627.66119783,173980.619613647,2627.66119782764
17,E01000019,Barking and Dagenham 023A,Redbridge,4.75087869572,5.36867899884,2.53074455718,7.14254010804,1b,3146.21723251,183076.98714447,3146.21723250905
18,E01000020,Barking and Dagenham 023B,Barking & Dagenham,7.04560448302,7.01064336874,4.01454395753,11.1270297655,2,3214.31152025,187237.022903442,3214.31152024621
