LSOA code (2011),la19nm,england_imd_rank,england_imd_decile,london_imd_rank,london_imd_decile,IDAOP_london_rank,IDAOP_london_decile,IDACI_london_rank,IDACI_london_decile,Income_london_rank,Income_london_decile,employment_london_rank,employment_london_decile,crime_london_rank,crime_london_decile,barriers_london_rank,barriers_london_decile,livingEnv_london_rank,livingEnv_london_decile,health_london_rank,health_london_decile,edu_london_rank,edu_london_decile,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) rank - England,Index of Multiple Deprivation (IMD) decile - England,Index of Multiple Deprivation (IMD) rank rebased for London,Index of Multiple Deprivation (IMD) decile rebased for London,Index of Multiple Deprivation (IMD) quintile rebased for London
E01000001,City of London,29199,9,4576,10,"32,820",10,32806,10,32831,10,32742,10,32662,10,2679,6,7789,4,32113,10,32842,10,City of London 001A,E09000001,City of London,29199.0,9.0,4576.0,10.0,5.0
E01000002,City of London,30379,10,4700,10,"31,938",10,29682,10,29901,10,31190,10,32789,10,3645,8,13070,7,29705,9,32832,10,City of London 001B,E09000001,City of London,30379.0,10.0,4700.0,10.0,5.0
E01000003,City of London,14915,5,2562,6,"16,377",8,27063,9,18510,7,15103,5,29363,10,984,3,4092,2,17600,4,26386,8,City of London 001C,E09000001,City of London,14915.0,5.0,2562.0,6.0,3.0
E01000005,City of London,8678,3,1325,3,"3,885",3,9458,4,6029,2,7833,2,31059,10,1003,3,9397,5,17907,4,12370,2,City of London 001E,E09000001,City of London,8678.0,3.0,1325.0,3.0,2.0
E01000006,Barking and Dagenham,14486,5,2485,6,"12,934",7,13592,6,14023,6,21692,7,18848,8,495,2,10629,6,21581,6,17511,4,Barking and Dagenham 016A,E09000002,Barking and Dagenham,14486.0,5.0,2485.0,6.0,3.0
E01000007,Barking and Dagenham,7256,3,962,2,"2,514",2,6750,3,6261,2,11487,4,4925,2,145,1,11162,6,16414,4,20536,5,Barking and Dagenham 015A,E09000002,Barking and Dagenham,7256.0,3.0,962.0,2.0,1.0
E01000008,Barking and Dagenham,5010,2,423,1,893,1,4452,2,3382,1,6431,2,11113,5,473,1,8672,5,12334,2,10569,2,Barking and Dagenham 015B,E09000002,Barking and Dagenham,5010.0,2.0,423.0,1.0,1.0
E01000009,Barking and Dagenham,6736,3,827,2,"2,238",2,10487,5,7506,3,11132,3,4431,2,270,1,9611,5,9661,2,16819,4,Barking and Dagenham 016B,E09000002,Barking and Dagenham,6736.0,3.0,827.0,2.0,1.0
E01000010,Barking and Dagenham,6900,3,868,2,531,1,8757,4,8902,4,17988,6,2164,1,140,1,2269,1,16050,4,20182,5,Barking and Dagenham 015C,E09000002,Barking and Dagenham,6900.0,3.0,868.0,2.0,1.0
E01000011,Barking and Dagenham,7698,3,1079,3,"2,747",2,10815,5,9033,4,16108,5,8727,4,79,1,4309,2,18178,4,12224,2,Barking and Dagenham 016C,E09000002,Barking and Dagenham,7698.0,3.0,1079.0,3.0,2.0
